题号    四则运算式子
2840     7 × 7 － (7 － 4) ＝ 
2841     7 ＋ 8 ＋ 1 － 9 ＝ 
2842     9 ÷ 7 × (3 × 0) ＝ 
2843     7 ÷ 3 × (5 － 0) ＝ 
2844     5 × (1 × 6 ＋ 8) ＝ 
2845     2 ＋ 2 ＋ 5 × 4 ＝ 
2846     (1/3 ＋ 3) × 1'1/2 ＋ 2 ＝ 
2847     2 ＋ (1 ＋ 1 × 1) ＝ 
2848     1/9 － (7 － 7) × 8 ＝ 
2849     4 ＋ (5 － 3/4) － 7 ＝ 
2850     9 × (8 × (1 ÷ 8)) ＝ 
2851     6 ÷ 1 － (1/2 ＋ 1'1/8) ＝ 
2852     (7 ＋ 0) ÷ (1'1/4 ＋ 7) ＝ 
2853     4 ＋ (1 × 6 ＋ 3) ＝ 
2854     8 × 2 ＋ (6 － 3) ＝ 
2855     1 － 0 × (8 ＋ 8) ＝ 
2856     9 ÷ 2 ＋ (4 － 1) ＝ 
2857     3 － (3 ＋ 8) ÷ 6 ＝ 
2858     6 × 5 ＋ 3 × 6 ＝ 
2859     5 × 2 ÷ 3 × 6 ＝ 
2860     1 ＋ 1 ＋ 3/7 × 2 ＝ 
2861     8 ＋ 8 － 7 － 1 ＝ 
2862     (0 ＋ 0 × 2) × 8 ＝ 
2863     8 × (9 ÷ 2 ＋ 2) ＝ 
2864     8 ÷ 2 ＋ 0 × 4 ＝ 
2865     (7 ＋ 1/2 ＋ 3) × 4 ＝ 
2866     7 × (1'1/2 ＋ 4 × 8) ＝ 
2867     1 ＋ (6 － 5 × 3/10) ＝ 
2868     5 ＋ 9 ÷ 2 － 8 ＝ 
2869     0 × 7 ＋ (3 ＋ 2) ＝ 
2870     (9 ＋ 4/5) ÷ (8 × 1'1/6) ＝ 
2871     6 ÷ (1 ÷ 3/5 ÷ 3) ＝ 
2872     (3 ＋ (6 ＋ 5)) × 7 ＝ 
2873     2 ＋ 2 － 2 × 1/9 ＝ 
2874     1/4 × (7 ÷ 3) ÷ 2 ＝ 
2875     2 × 2 × 8 ＋ 2 ＝ 
2876     6 × (1 × (1 × 5)) ＝ 
2877     6 × (7 ＋ 5) ÷ 4 ＝ 
2878     2 ＋ (7 × 3 ＋ 1) ＝ 
2879     (7 － 1'1/6 － 1) × 8 ＝ 
2880     1 ＋ (3/4 ＋ 4) ＋ 9 ＝ 
2881     6 ÷ 3 ＋ 1 ÷ 1'2/7 ＝ 
2882     0 ÷ (2/3 × (8 ＋ 9/10)) ＝ 
2883     4 × (8 × 4 － 9/10) ＝ 
2884     (0 ÷ 9 ＋ 7/8) ÷ 4 ＝ 
2885     8 － 1 ÷ (2 × 1'3/7) ＝ 
2886     9 × 2 × (7 － 6) ＝ 
2887     9 × (1 － 0 ÷ 8) ＝ 
2888     3/4 ＋ (7 ＋ (2 ＋ 3/8)) ＝ 
2889     (5 ＋ 4/5) × 7 ÷ 9 ＝ 
2890     (4 ＋ 5) × (7 － 3) ＝ 
2891     9 ＋ (1/3 ÷ 5 ＋ 5/9) ＝ 
2892     0 ＋ 1/3 － 1/5 ＋ 0 ＝ 
2893     2 ÷ 9 × (3 － 1) ＝ 
2894     6 × (1 ＋ 6) ÷ 6/7 ＝ 
2895     8 ÷ (5 ÷ (4 ＋ 2)) ＝ 
2896     (6 ＋ 9) × (6 － 2) ＝ 
2897     (1 ＋ 2) × 4 ＋ 4/9 ＝ 
2898     3 ÷ (8 ÷ (9 ÷ 3)) ＝ 
2899     5 ÷ (2 － 1/3) × 7 ＝ 
2900     1/3 × 7 ÷ (0 ＋ 5) ＝ 
2901     (4 ＋ 3 ＋ 0) × 3 ＝ 
2902     3 × 8 ＋ (3 － 3) ＝ 
2903     1 ＋ (2 × 9 ＋ 1'1/3) ＝ 
2904     8 ＋ (7 － 4) ＋ 1 ＝ 
2905     6 ＋ 6 ＋ (5 － 3) ＝ 
2906     3 × 6 ÷ 6 － 0 ＝ 
2907     0 ＋ (1 ＋ 9) ÷ 3 ＝ 
2908     1'2/5 × 3 ＋ 8 × 8 ＝ 
2909     3 － 6/7 ÷ 5 × 9 ＝ 
2910     (4 － 1'3/7) × (4 × 6) ＝ 
2911     2 ÷ (6 ＋ (2 － 0)) ＝ 
2912     9 × 0 ＋ 2/5 × 7 ＝ 
2913     1 － 1 ＋ 6 ÷ 6 ＝ 
2914     9 ＋ 5 － 1 ÷ 6 ＝ 
2915     7 ＋ (7 ＋ 6 ÷ 2) ＝ 
2916     8 × (5 － (7 － 4)) ＝ 
2917     3 ＋ (9 － 1 × 1) ＝ 
2918     2'2/3 ÷ (1 － 4/5 ÷ 1) ＝ 
2919     5 × 3 ÷ (4 ＋ 7) ＝ 
2920     7 ＋ (6 ÷ 4 － 1) ＝ 
2921     4 × 5 × (4 × 4) ＝ 
2922     6 × 8 － 1 ＋ 1 ＝ 
2923     2'2/3 × 1 ＋ 9 － 1 ＝ 
2924     7 ＋ 7 － (3 ＋ 4) ＝ 
2925     0 ＋ 2 ÷ (4 ÷ 1) ＝ 
2926     5 ＋ (0 ＋ 2) － 7 ＝ 
2927     6 ÷ (6 － 4 ＋ 6) ＝ 
2928     3/10 ＋ (1'1/3 － 1 × 0) ＝ 
2929     7 × (3 － (1'2/3 ＋ 1)) ＝ 
2930     3 ÷ (3 ＋ 9 － 5) ＝ 
2931     5 ÷ 5 － 0 ÷ 3 ＝ 
2932     6 × (7 ÷ 7) × 1 ＝ 
2933     4 × 0 ＋ (7 － 5) ＝ 
2934     6 ＋ (9 － 3 ＋ 6) ＝ 
2935     (9 － 7) ÷ (5 ÷ 3) ＝ 
2936     (3'1/2 ＋ 1/3) × (0 ＋ 3) ＝ 
2937     4 ＋ 6 － 7 ＋ 4/7 ＝ 
2938     (7 － 1/9) ÷ 3 ＋ 1 ＝ 
2939     2 × 7 ÷ (9 ＋ 1) ＝ 
2940     9 ÷ 8 × 0 ÷ 7 ＝ 
2941     7 × (4 － 1/5) ＋ 3 ＝ 
2942     1'2/7 ÷ 1/3 × (4/5 ÷ 5/7) ＝ 
2943     6 ÷ (0 ＋ 4 ÷ 3) ＝ 
2944     7 ÷ (1 ＋ (8 ＋ 6)) ＝ 
2945     7 × 1 ÷ 5 ÷ 3 ＝ 
2946     8 × 9 － 7 － 2 ＝ 
2947     (7 ＋ 5 × 4) × 3 ＝ 
2948     8 × (4 ＋ 0 ＋ 8) ＝ 
2949     5 ＋ (4 ÷ 9 ＋ 6) ＝ 
2950     9 × 6 ＋ (3 ＋ 1) ＝ 
2951     8 × 0 ＋ 8 × 8 ＝ 
2952     7 － (3 － 0) × 0 ＝ 
2953     7 × (5 － 1) ÷ 4 ＝ 
2954     1'3/4 ÷ 1 × 7 ÷ 3 ＝ 
2955     3 － 1 × 3 ＋ 3 ＝ 
2956     (5 ＋ 3) × (2/5 × 2/3) ＝ 
2957     (1'1/2 ＋ 9) ÷ 4 ＋ 9 ＝ 
2958     6 － 5 ＋ 2 ÷ 5 ＝ 
2959     6 ＋ 9 × 0 － 2 ＝ 
2960     9 × (3 ＋ (0 ＋ 2)) ＝ 
2961     6 ＋ 5 － 3'1/3 × 3 ＝ 
2962     (6 ＋ 4/7) × (2 － 1) ＝ 
2963     1 ＋ 9 ＋ 10 － 1 ＝ 
2964     1'1/7 × 1 × (4 × 1) ＝ 
2965     (5 － 0) × (2 ÷ 6) ＝ 
2966     9 × 6 ÷ 1 × 6 ＝ 
2967     4 － (2 － 1'1/4) × 1 ＝ 
2968     9 × (2 － 1) ÷ 2 ＝ 
2969     7 ＋ (7 － 3/4) ÷ 9 ＝ 
2970     4 × (2 ＋ 7) ＋ 1 ＝ 
2971     2 × (4 ＋ 4) ＋ 7 ＝ 
2972     (2 ＋ 0 ＋ 8) × 1 ＝ 
2973     1 ＋ (1 ＋ 3) － 1 ＝ 
2974     5 ＋ 2 ÷ 2 － 1/2 ＝ 
2975     3 － 0 ÷ 8 ÷ 7 ＝ 
2976     7 － 0 ＋ 1'1/2 ＋ 3 ＝ 
2977     1 × (8 × 6 － 2) ＝ 
2978     5 × 1 ＋ (9 － 2) ＝ 
2979     8 ＋ (3 － 2) － 8 ＝ 
2980     (5 ＋ 5 ÷ 6) ÷ 5 ＝ 
2981     1 × 2 ÷ (5 － 4) ＝ 
2982     0 × (3 ＋ 1 ÷ 3) ＝ 
2983     1 ÷ 4 × (8 ÷ 3) ＝ 
2984     (1 ＋ (5 ＋ 1/4)) × 5 ＝ 
2985     8 × 5 × 0 ÷ 6 ＝ 
2986     (0 ＋ 0 ÷ 1) ÷ 8 ＝ 
2987     6/7 ＋ 2/5 － 1 × 1 ＝ 
2988     6 × (1'1/5 ＋ 8) × 7 ＝ 
2989     9 ÷ 7/8 × (2 ＋ 9) ＝ 
2990     8 ÷ 2 ＋ 6 ÷ 4 ＝ 
2991     3 － 2 ＋ (9 － 0) ＝ 
2992     6 ÷ (3/10 ÷ (7 － 3/4)) ＝ 
2993     9 ÷ 3/5 ＋ 7 ＋ 6 ＝ 
2994     1'3/4 × 0 ＋ 1'1/5 × 3/5 ＝ 
2995     4 － 1 ＋ 7 ÷ 8 ＝ 
2996     9 ÷ (3 ＋ 3/5 ÷ 4) ＝ 
2997     1'4/5 × (3 × 0) ＋ 8 ＝ 
2998     2 × 5/9 ÷ (5 － 1) ＝ 
2999     5 ＋ (2'1/4 ＋ (5 ＋ 1)) ＝ 
3000     3 ÷ (1'1/4 ＋ 6) ＋ 2'2/3 ＝ 
3001     6 ÷ 1/3 － 1 × 0 ＝ 
3002     3 × 3 ＋ 1/6 × 5 ＝ 
3003     5 ＋ 3 ＋ 3'1/2 ＋ 7 ＝ 
3004     8 ＋ 7 × (4 ＋ 9) ＝ 
3005     5 ÷ (9/10 ÷ 7 ＋ 1) ＝ 
3006     9 × 4 － (0 ＋ 8) ＝ 
3007     4 ＋ 2 ÷ (4 ＋ 5) ＝ 
3008     (4 ＋ 1 ＋ 4) × 7 ＝ 
3009     5 ＋ (9 ＋ 5 ÷ 7) ＝ 
3010     5 ＋ 2 ＋ 6 ÷ 3 ＝ 
3011     (6 ＋ 4) ÷ 1/2 × 7 ＝ 
3012     8 ÷ 5 ＋ (4 ＋ 1) ＝ 
3013     0 × (0 × 8 ＋ 4) ＝ 
3014     9 ÷ (6 × (5 ＋ 6)) ＝ 
3015     (8 ＋ 4) ÷ 5/9 ÷ 4 ＝ 
3016     1'1/2 × (8 ＋ 1 ÷ 6/7) ＝ 
3017     (7 ＋ 5) × 1 － 9 ＝ 
3018     2/3 ＋ (5 ＋ (3 ＋ 9)) ＝ 
3019     (6 ＋ 7 － 7) × 2 ＝ 
3020     0 ÷ 4 ÷ (7 － 5) ＝ 
3021     1 ＋ 4 ÷ (1/6 － 0) ＝ 
3022     8 ÷ ((7 － 5) ÷ 6) ＝ 
3023     2 × (9 ÷ (3 － 5/9)) ＝ 
3024     (1 ＋ (2 ＋ 7)) ÷ 3 ＝ 
3025     9 ＋ 1 ＋ 2 ＋ 8 ＝ 
3026     5 × 0 ÷ (2 ＋ 8) ＝ 
3027     (4 ÷ 1'1/9 ＋ 3/5) × 8 ＝ 
3028     4 ＋ (7 ＋ 2/5) × 4 ＝ 
3029     (2 ＋ 2 ÷ 3) ÷ 6 ＝ 
3030     1 ÷ 9 － 0 ÷ 2 ＝ 
3031     3 ÷ 2/5 × 2 ÷ 1/9 ＝ 
3032     1 ＋ (0 ＋ 7 × 1) ＝ 
3033     1 ÷ (7 － 2) ＋ 2 ＝ 
3034     2 － 2 ＋ (2'1/2 ＋ 3) ＝ 
3035     6 ÷ 4 × (7 ÷ 4) ＝ 
3036     1/2 ÷ (5/7 × 2 － 0) ＝ 
3037     0 ＋ 1/2 ÷ 2 ÷ 1'1/9 ＝ 
3038     2 ＋ 9 ＋ (1 ＋ 0) ＝ 
3039     5 × 1'4/5 ÷ (0 ＋ 6) ＝ 
3040     0 ＋ 1/6 × (7 ＋ 0) ＝ 
3041     (8 － 8) ÷ (4 ＋ 1) ＝ 
3042     7 ＋ 0 × (7 ＋ 8) ＝ 
3043     7 × 3 ＋ 0 － 5 ＝ 
3044     7/10 ＋ (7 ＋ 0 － 7) ＝ 
3045     9 ＋ (9 × 2 － 1) ＝ 
3046     5 ＋ 7 － 3 ÷ 4 ＝ 
3047     (8 ＋ (9 － 2)) ÷ 1/5 ＝ 
3048     (1 ＋ 5) × 1 ÷ 3 ＝ 
3049     (5 － 4 ÷ 6) ÷ 2 ＝ 
3050     (2 － 1) × 1 × 5 ＝ 
3051     4 ÷ 6 ÷ 2 ＋ 1 ＝ 
3052     1'1/7 ＋ (1'2/7 ＋ 9 － 8) ＝ 
3053     4 ÷ (1 ÷ 5) ÷ 8 ＝ 
3054     4 × 2 ＋ (4 ＋ 3) ＝ 
3055     1 × ((1 ＋ 7) ÷ 2) ＝ 
3056     7 × 0 × (4 － 1'1/9) ＝ 
3057     (5 ＋ 1 － 6) × 8 ＝ 
3058     3 ÷ ((6 ＋ 1'1/2) ÷ 3) ＝ 
3059     (3/10 ＋ 1) × (3/5 － 0) ＝ 
3060     0 ÷ ((6 － 1/4) × 1) ＝ 
3061     (5 ＋ 9) ÷ (1 ＋ 8) ＝ 
3062     6 × (6 × (8 × 5)) ＝ 
3063     (9 ＋ 5 － 2) ÷ 3/5 ＝ 
3064     8 × (5 － 1) － 7 ＝ 
3065     1 ＋ (9 － 1 ＋ 1'2/7) ＝ 
3066     8 － (9 － 8 × 1) ＝ 
3067     7 ÷ 5 ÷ (1 － 0) ＝ 
3068     1 ÷ (3 ＋ 3) ÷ 9 ＝ 
3069     (8 × 2 ＋ 3) × 6 ＝ 
3070     2 － 1 ＋ 4 ＋ 4 ＝ 
3071     (1 ＋ (9 ＋ 1)) ÷ 5 ＝ 
3072     7 × 5 × (1 × 0) ＝ 
3073     7 ÷ 8 × (3 ＋ 6) ＝ 
3074     4 ＋ 8 × 3/10 － 2 ＝ 
3075     8 ÷ (6 ＋ (1/9 ＋ 0)) ＝ 
3076     7 × (7 － 1) － 4 ＝ 
3077     2 × (3 ＋ 7) ＋ 6 ＝ 
3078     7 ÷ 4 ÷ 3 ＋ 1/2 ＝ 
3079     7 ÷ 5 ＋ 4/5 × 0 ＝ 
3080     3 × 0 × (9 ＋ 0) ＝ 
3081     9 － 3 ＋ 0 ÷ 1 ＝ 
3082     1 － 1 ＋ (3 ＋ 7/10) ＝ 
3083     (1 ＋ 6) × 1 － 5 ＝ 
3084     8 × (5 ÷ 3/4) ＋ 4 ＝ 
3085     0 × (0 ÷ (3 × 1)) ＝ 
3086     5 ÷ 7 ＋ (1/2 － 0) ＝ 
3087     (8 ＋ 4) × 9 － 5 ＝ 
3088     5/7 × 4 ＋ (2 ＋ 5) ＝ 
3089     (8 － (8 － 6)) ÷ 7 ＝ 
3090     (1 ＋ 1/2) × (1'1/5 ÷ 8) ＝ 
3091     3 × (9 × 3 ＋ 1) ＝ 
3092     1 ＋ 0 ÷ 8 ＋ 2 ＝ 
3093     1/2 ＋ 8 － 0 × 5/8 ＝ 
3094     1 × 3 ÷ (9 × 1) ＝ 
3095     6 × 7 ÷ (5 ＋ 9) ＝ 
3096     9 ÷ (1'4/5 － 1) － 6 ＝ 
3097     9 × (2 ＋ 9) ＋ 5 ＝ 
3098     2 ÷ 6 × (1 ＋ 2/7) ＝ 
3099     3 × (5 ＋ 4) ÷ 4 ＝ 
3100     7 － 6 × 0 ＋ 2'1/2 ＝ 
3101     (6 － 3) × 0 × 0 ＝ 
3102     2 × 2 ÷ (4 ＋ 5) ＝ 
3103     (4 ＋ 2) ÷ (2 ＋ 2) ＝ 
3104     (7 × 8 － 8) ÷ 2 ＝ 
3105     5 ＋ 5 ＋ 1 ÷ 9 ＝ 
3106     5 ＋ 9 ＋ 2'1/2 ÷ 2'1/4 ＝ 
3107     8/9 ÷ (1'3/5 － 2 ÷ 2) ＝ 
3108     1 ÷ (4 × 7 － 7) ＝ 
3109     6 × 2 ÷ (6 ＋ 4) ＝ 
3110     8 × 2/5 ＋ (2/5 ＋ 9) ＝ 
3111     7 ÷ (6 － 2 － 1) ＝ 
3112     4 － 3 ＋ 7 － 7 ＝ 
3113     (8 ＋ 6) × (2/5 ＋ 6) ＝ 
3114     2 ＋ 2 × (9 － 8) ＝ 
3115     3 ＋ 2/3 － (5 － 5) ＝ 
3116     3 × ((1 ＋ 2'1/2) ÷ 2) ＝ 
3117     2'1/3 ＋ (6 ÷ 1 － 1) ＝ 
3118     8 ＋ (1 ＋ 7) × 7 ＝ 
3119     5 － 1 ＋ (9 － 3) ＝ 
3120     1 ＋ 1/2 × 1'1/5 ＋ 9 ＝ 
3121     9 × (0 ÷ 2'2/3 ÷ 7) ＝ 
3122     9 × (0 ÷ (1/3 × 1/9)) ＝ 
3123     4 × (3 ＋ (9 ＋ 9)) ＝ 
3124     9 ＋ 5 ＋ 4 ÷ 2 ＝ 
3125     8 × 1'1/4 － (5 － 2) ＝ 
3126     0 ＋ (7 ＋ 7 ＋ 1/3) ＝ 
3127     6 × 1 ÷ 1 ÷ 4 ＝ 
3128     7 － 7 ＋ (3 ＋ 8) ＝ 
3129     1/2 ＋ 0 ＋ 0 × 9 ＝ 
3130     1/2 － (2/9 ＋ 0) ÷ 4 ＝ 
3131     (8 － 1/3) × 2 × 1 ＝ 
3132     6 ＋ 7 － 5 － 2'1/2 ＝ 
3133     1/2 ÷ (1 ÷ 1 ＋ 8) ＝ 
3134     1 × (7 ＋ 4'1/2) ＋ 0 ＝ 
3135     (6 － 4) × (1/3 × 6) ＝ 
3136     5 × 1'3/5 ＋ (1/5 ＋ 1) ＝ 
3137     6 ÷ 4 ÷ 7 × 1 ＝ 
3138     9 － 1 ＋ 5 － 1 ＝ 
3139     8 ÷ 8 ÷ (1'4/5 ＋ 2) ＝ 
3140     1 ÷ (5 × (9 × 2)) ＝ 
3141     1 ÷ (9 ÷ 9) ＋ 6 ＝ 
3142     6 ÷ (3 × 2) ÷ 6 ＝ 
3143     9 － (8 － 1 × 4) ＝ 
3144     (5 ＋ (4 ＋ 3)) × 8 ＝ 
3145     9 ＋ (9 × 1 － 2'1/2) ＝ 
3146     5 ÷ (4 ＋ 5 ＋ 3) ＝ 
3147     9 ÷ 6 － 1'3/7 ＋ 5 ＝ 
3148     1 × (0 × (3/7 × 8)) ＝ 
3149     3 × 2 － 4/5 ÷ 1/2 ＝ 
3150     1 × (2 － (5 － 5)) ＝ 
3151     (2 ＋ 8 × 8) × 2 ＝ 
3152     (1'1/9 ＋ 0) × 9 ＋ 2 ＝ 
3153     (4 － 1) ÷ (7 ＋ 2) ＝ 
3154     1'2/5 × 8 ＋ 8 － 6 ＝ 
3155     (2 － (3 － 2)) × 4 ＝ 
3156     (9 － 0 ÷ 9) × 3 ＝ 
3157     9 ＋ (2 － 3 × 0) ＝ 
3158     (4'1/2 － 4) ÷ (1/8 ÷ 2) ＝ 
3159     6 ÷ (9 ＋ 1/5 ＋ 1) ＝ 
3160     (9 － 5) × 2 × 3'1/3 ＝ 
3161     8 － (3/5 ＋ 7) ÷ 6 ＝ 
3162     1 × ((9 ＋ 1'1/3) ÷ 2) ＝ 
3163     1 ＋ 6 ÷ (1/2 ÷ 1) ＝ 
3164     9 × ((9 ＋ 1) ÷ 4) ＝ 
3165     8 － 7 － (2 － 1) ＝ 
3166     8 ＋ 9 ＋ (6 － 2/3) ＝ 
3167     1'3/4 ÷ (2 ＋ (5 ＋ 9)) ＝ 
3168     4 × 2 ＋ (6 ＋ 9) ＝ 
3169     6 ＋ (5 ＋ 6) ÷ 1 ＝ 
3170     6 × 6 ＋ (7 － 1'4/5) ＝ 
3171     4 ＋ 4 ＋ 2 － 7 ＝ 
3172     2 × (8 － 7 ÷ 1) ＝ 
3173     1 － 4/5 ＋ 0 ÷ 1 ＝ 
3174     (8 ＋ 7) × 9 ÷ 6 ＝ 
3175     8 × (1/5 ＋ 2) ÷ 4 ＝ 
3176     3 × 1 ＋ (1/2 ＋ 1) ＝ 
3177     1 × 3 ÷ 5 × 9 ＝ 
3178     4 ÷ (1 ＋ (8 － 0)) ＝ 
3179     6 × (6 ＋ 9) － 1 ＝ 
3180     5 ＋ (5 － 4) ÷ 9 ＝ 
3181     0 ＋ (7 － 1) ＋ 1'3/7 ＝ 
3182     9 ÷ (5 ＋ 2 － 2) ＝ 
3183     3 × 4/5 ＋ (7 － 3/10) ＝ 
3184     8 ÷ 8 × (8 × 7) ＝ 
3185     3/10 × (5 － 5 ÷ 2) ＝ 
3186     8 × 6 ÷ (9 ＋ 9) ＝ 
3187     3/8 ÷ (1/5 ＋ 1/3) × 5 ＝ 
3188     0 × 7 ＋ (0 ＋ 7/10) ＝ 
3189     4 × 4 × (1 ÷ 4) ＝ 
3190     9 ÷ 3 ＋ 3 ＋ 1 ＝ 
3191     3 ÷ (9 × 4 － 5) ＝ 
3192     3 － (0 ＋ (2 ＋ 8/9)) ＝ 
3193     3 ＋ 4 － (3 ＋ 1/6) ＝ 
3194     5 － 4 ÷ (2 ＋ 0) ＝ 
3195     4 × (3/10 ＋ 7 － 3) ＝ 
3196     1 × 1 ÷ 8 ÷ 3 ＝ 
3197     5 ÷ 9/10 － 4 ＋ 2 ＝ 
3198     1 × (3 ＋ 5 ＋ 8) ＝ 
3199     (8 ＋ 8 ÷ 6) × 4 ＝ 
3200     2 ÷ 1 ÷ 6 × 0 ＝ 
3201     5 ÷ (9 － 8) ＋ 4 ＝ 
3202     4 ＋ (9 ＋ 1'2/7 × 3) ＝ 
3203     8 × 2 ＋ 1 × 8 ＝ 
3204     8 ÷ (4/9 × 7 ＋ 0) ＝ 
3205     4 ＋ (6 － 6) ＋ 5 ＝ 
3206     (5 ＋ 9) × (2 × 7) ＝ 
3207     (3 ＋ 5) ÷ 7 ÷ 7 ＝ 
3208     6 ＋ 8 × 1'1/2 × 2 ＝ 
3209     0 ÷ (6 － (2 ＋ 3)) ＝ 
3210     2 × 2/7 ＋ (1'1/3 ＋ 1/4) ＝ 
3211     7 ＋ 2 ＋ (1'1/7 ＋ 0) ＝ 
3212     (6 ＋ 1) × 5 ＋ 4 ＝ 
3213     1'1/9 × 1 ＋ 9 ÷ 6 ＝ 
3214     4 ÷ 5 × 0 ÷ 2 ＝ 
3215     4 ＋ 1 － (1'3/7 － 1) ＝ 
3216     2 － (2 ＋ 0) × 1 ＝ 
3217     (8 ＋ 0 ÷ 4) ÷ 1 ＝ 
3218     6 × (9 × 0) ＋ 4 ＝ 
3219     6 × (8 ＋ 2) × 3 ＝ 
3220     6 ＋ (2 ÷ 2 ＋ 2) ＝ 
3221     3 ＋ 7 ＋ (1 － 1) ＝ 
3222     3 － (7 ÷ 2 － 5/7) ＝ 
3223     1 ＋ 4 － (0 － 0) ＝ 
3224     1'1/3 ÷ (6 × (4 × 3)) ＝ 
3225     2 ÷ (0 ÷ 5 ＋ 7) ＝ 
3226     9 ＋ 3 ÷ (9 ÷ 5) ＝ 
3227     1 ＋ 8 ＋ (1/2 ＋ 0) ＝ 
3228     2 ÷ 2 × (5 － 3/8) ＝ 
3229     9 － 1'2/7 － (2 ＋ 1) ＝ 
3230     1'2/3 × (9 ＋ (8 ＋ 8)) ＝ 
3231     9 × 1 ＋ 1'3/5 ＋ 2 ＝ 
3232     (3 ＋ 1'1/2 ＋ 4) ÷ 7 ＝ 
3233     3 ＋ (6 ＋ 1) ÷ 5 ＝ 
3234     8 × (8 ÷ 2) － 6 ＝ 
3235     9 ＋ (8 × 3 ＋ 7) ＝ 
3236     7 － (9 － 6 － 1) ＝ 
3237     9 － (6 ＋ 2/5 ＋ 1) ＝ 
3238     (3 ＋ 1'1/2) ÷ (4 － 2) ＝ 
3239     (3 － 3) × 1 × 9 ＝ 
3240     (9 ＋ 2 ＋ 1/2) × 3 ＝ 
3241     8 ＋ 3 － (4 ＋ 1) ＝ 
3242     5 ÷ 1 ＋ (9 － 5) ＝ 
3243     0 ÷ 5 ÷ 4 × 4 ＝ 
3244     (8 － 5 ＋ 1'3/5) ÷ 5 ＝ 
3245     7 － 5 － (0 ＋ 0) ＝ 
3246     2'2/3 × 9 － 3 × 5 ＝ 
3247     (9 － 4) × 7 － 5 ＝ 
3248     (6 ＋ 3) × 9 － 6 ＝ 
3249     5 － (8 － (6 ＋ 0)) ＝ 
3250     (5 ＋ 2/9) ÷ 3 × 4 ＝ 
3251     3 ÷ (4 ＋ 9) ＋ 9 ＝ 
3252     1 ÷ 8 × 9 ÷ 1 ＝ 
3253     1/9 － 1/9 ＋ (5 ＋ 5) ＝ 
3254     2 ÷ (9 ＋ 5 × 8) ＝ 
3255     5 × (8 ÷ (9 ＋ 3)) ＝ 
3256     (1 ＋ 5/7 ＋ 1) × 2 ＝ 
3257     1 ＋ 9 ÷ (1 ÷ 5) ＝ 
3258     1 － 0 ＋ (6 ＋ 4/5) ＝ 
3259     2 ＋ 7 ＋ (9 － 7) ＝ 
3260     7 ÷ 6 － 1 × 0 ＝ 
3261     9 × ((4 － 0) × 4) ＝ 
3262     6 ＋ 1'1/4 ＋ 5 － 4 ＝ 
3263     (9 ＋ 8/9) × (0 ＋ 4) ＝ 
3264     6 ÷ (9 ＋ (9 － 9)) ＝ 
3265     (2 － 2 ＋ 4) × 8 ＝ 
3266     7 ÷ (1/6 × 2/5 × 7) ＝ 
3267     0 － 0 ＋ 4 ÷ 4 ＝ 
3268     2 × 3 ＋ 6 ＋ 8 ＝ 
3269     2 × ((8 ＋ 7) × 4) ＝ 
3270     4 ＋ (0 ＋ 6 ＋ 1) ＝ 
3271     8 － 1/2 ＋ (2 ＋ 4) ＝ 
3272     (3 ÷ 7 ＋ 1) × 5 ＝ 
3273     (7 ＋ 2) × (1 ÷ 4) ＝ 
3274     2 ＋ 5 ÷ (2 ÷ 3'1/3) ＝ 
3275     5 × ((4 ＋ 2) ÷ 7) ＝ 
3276     8 ＋ (5 ＋ 2 － 7) ＝ 
3277     6 × (8 ＋ 2 － 1) ＝ 
3278     0 ＋ (6 － 2 － 4) ＝ 
3279     0 ÷ (6 － 3/10 ÷ 5) ＝ 
3280     7 ＋ 4 ＋ (2'1/2 ＋ 3) ＝ 
3281     6 ÷ 8/9 ＋ 0 ÷ 5 ＝ 
3282     9 ÷ 1 × 4 ＋ 0 ＝ 
3283     1/2 ÷ (6 × 4) × 9 ＝ 
3284     0 ÷ (2 － 5/9 ÷ 4) ＝ 
3285     5 ＋ 8/9 － (7 － 2'1/2) ＝ 
3286     2 ＋ 2 ＋ 3 × 8 ＝ 
3287     (6 － (2/5 ＋ 3)) ÷ 9 ＝ 
3288     1/8 ÷ 2 ÷ (3 ＋ 0) ＝ 
3289     3 × (1/5 － 1 ÷ 6) ＝ 
3290     1 ÷ 2 ÷ 4 ＋ 8 ＝ 
3291     5 ＋ (7 ＋ 1 － 4) ＝ 
3292     4 ÷ 2 ＋ (1 ＋ 2) ＝ 
3293     6 ÷ 7 × (5 ＋ 5) ＝ 
3294     0 × 5 ÷ 1 ÷ 6 ＝ 
3295     2 × (3/8 ＋ (9 － 7)) ＝ 
3296     2 × 6 － (5 ＋ 6) ＝ 
3297     (7 ＋ 1/5) × (3 × 7) ＝ 
3298     8 × (1 ＋ 5 ÷ 4) ＝ 
3299     5 × (1/2 ＋ 5) ＋ 4 ＝ 
3300     1 × (7 × (6 ＋ 8)) ＝ 
3301     2 － (2'1/4 － 8/9 ＋ 0) ＝ 
3302     2 ＋ (3 － 5/7) ÷ 9 ＝ 
3303     (2/9 ＋ (3 － 1)) ÷ 3 ＝ 
3304     7 ＋ (2 ＋ 1 ＋ 1'1/4) ＝ 
3305     7/8 ÷ 5 ＋ 1'1/4 ＋ 4 ＝ 
3306     7 × (8 － 0 ÷ 5) ＝ 
3307     1 × 3/10 ÷ (9 × 1/8) ＝ 
