题号    答案           四则运算式子
904      11'1/5**      7 × (2 － 2 ÷ 5) ＝ 
905      4/5*****      1/5 × 8 × (3 ÷ 6) ＝ 
906      18******      3 ＋ 7 ＋ (7 ＋ 1) ＝ 
907      4'20/21*      5 ÷ 1'1/6 ＋ 1 × 2/3 ＝ 
908      8*******      (7 ＋ 1) × (7 － 6) ＝ 
909      4*******      4 － 2 ＋ (2 － 0) ＝ 
910      6'3/4***      2 ＋ 6 － 5 ÷ 4 ＝ 
911      6'2/3***      (8 － 0) × (5 ÷ 6) ＝ 
912      48******      3'1/2 × 8 × (2/7 × 6) ＝ 
913      8*******      8 ＋ 9 × 0 × 1/3 ＝ 
914      4*******      7 ＋ 2 － (8 － 3) ＝ 
915      48******      3 × (4 × 4) ＋ 0 ＝ 
916      35/54***      5/9 × (7 × 1/6 － 0) ＝ 
917      8/21****      8 ÷ (9 ＋ 5 ＋ 7) ＝ 
918      19'2/7**      1'1/7 × 9 ＋ (2 ＋ 7) ＝ 
919      1'7/9***      4 ÷ (6 ÷ (8 ÷ 3)) ＝ 
920      8'3/4***      7 ÷ (2/5 × 2 － 0) ＝ 
921      0*******      (9 ＋ 0 － 1) × 0 ＝ 
922      17******      (6 ＋ 9 ＋ 2) ÷ 1 ＝ 
923      385*****      (7 ＋ 8 × 6) × 7 ＝ 
924      3*******      (9 ＋ 1 － 4) ÷ 2 ＝ 
925      3/7*****      3 ÷ (3 － 1 ＋ 5) ＝ 
926      8*******      1 × (8 － 8 ＋ 8) ＝ 
927      2*******      2 － 6 ÷ 8 × 0 ＝ 
928      4*******      0 ＋ 1 × 4 × 1 ＝ 
929      7'1/3***      6 ÷ 3 ＋ 8 ÷ 1'1/2 ＝ 
930      5'1/5***      4 × (3 － (2 － 3/10)) ＝ 
931      2'5/8***      7 × ((2'1/2 － 1) ÷ 4) ＝ 
932      6'5/36**      (1'1/4 － 0) ÷ 9 ＋ 6 ＝ 
933      8*******      1 ＋ (6 ＋ 1 － 0) ＝ 
934      1*******      (2 ＋ 5) ÷ (6 ＋ 1) ＝ 
935      5/48****      5 ÷ ((5 ＋ 3) × 6) ＝ 
936      0*******      0 × (5 × 1/5 ÷ 4/7) ＝ 
937      3/4*****      (5/7 ÷ 2 ＋ 1'1/7) ÷ 2 ＝ 
938      39******      8 ＋ (4 × 8 － 1) ＝ 
939      5'1/2***      4 ÷ 2 × (2 ＋ 3/4) ＝ 
940      15'1/12*      6 ＋ (1/3 － 1/4 ＋ 9) ＝ 
941      12******      4 ＋ 1 ＋ 1 × 7 ＝ 
942      87'3/4**      (3 － 1'1/4 ＋ 8) × 9 ＝ 
943      1'2/9***      (1 ＋ (8 ＋ 2)) ÷ 9 ＝ 
944      3'1/7***      0 ＋ (1 ＋ 3/7 × 5) ＝ 
945      1/3*****      (1 ＋ 7 ÷ 7) ÷ 6 ＝ 
946      2*******      5 ＋ 0 － 1 × 3 ＝ 
947      0*******      (3 － 0) × 0 × 8 ＝ 
948      15'9/20*      (1'3/4 ＋ 6) × 1'4/5 ＋ 1'1/2 ＝ 
949      0*******      0 ÷ 4 × (3 × 5) ＝ 
950      2/63****      4/7 × 1 ÷ (9 ＋ 9) ＝ 
951      126*****      9 × (6 ＋ 3 ＋ 5) ＝ 
952      7*******      4 － 1 ＋ (3 ＋ 1) ＝ 
953      5/24****      1'1/4 ÷ 6 － 0 ÷ 8 ＝ 
954      5/6*****      1'2/3 ÷ (2 ＋ 0 ÷ 5) ＝ 
955      6'2/5***      1 × (2 × (1/5 ＋ 3)) ＝ 
956      0*******      7 － (5 － 1'1/2) × 2 ＝ 
957      26'1/4**      7 × 6 ÷ (8 ÷ 5) ＝ 
958      20******      (9 ＋ 1) × (2 × 1) ＝ 
959      67'1/2**      9 × 8 － 1'1/2 － 3 ＝ 
960      24******      8 ＋ (5 ＋ 9 ＋ 2) ＝ 
961      1'2/3***      3 ＋ 2 － 2 ÷ 3/5 ＝ 
962      0*******      0 ÷ (5 ＋ (4 ＋ 7)) ＝ 
963      16******      6 × 1 ＋ (7 ＋ 3) ＝ 
964      0*******      3 × (7 － 2) × 0 ＝ 
965      9'7/8***      5 ＋ (5 － 0) － 1/8 ＝ 
966      0*******      0 × (6 ＋ 3'1/2 × 4/7) ＝ 
967      66'2/5**      (8 ＋ 3/10) × (7 ＋ 1) ＝ 
968      8/27****      8/9 ÷ (0 ÷ 1/2 ＋ 3) ＝ 
969      15'4/9**      1 ＋ (8 ＋ 7) － 5/9 ＝ 
970      12******      (6 － 5 ＋ 3) × 3 ＝ 
971      41******      9 ＋ 5 ＋ 9 × 3 ＝ 
972      4*******      8 ＋ (9 － 8) － 5 ＝ 
973      11******      5 ＋ 3 － 5 ＋ 8 ＝ 
974      1'5/6***      5/6 × (4 ＋ 3) － 4 ＝ 
975      1'1/4***      5 ÷ (4 × (5 － 4)) ＝ 
976      1'6/7***      (8 ＋ 5) ÷ (7 × 1) ＝ 
977      48******      3 ＋ 5 × 8 × 1'1/8 ＝ 
978      8*******      1 ＋ (3 ＋ 9 － 5) ＝ 
979      31******      1'1/4 × 8 ＋ 3 × 7 ＝ 
980      1'1/7***      8 ÷ (4 ＋ 5 － 2) ＝ 
981      1/18****      0 ÷ 2 ＋ 1/2 ÷ 9 ＝ 
982      9'1/2***      5 ＋ 2 × (9 ÷ 4) ＝ 
983      35******      (3 － 1/2) × (9 ＋ 5) ＝ 
984      36'7/8**      (8 － 5 ÷ 8) × 5 ＝ 
985      39******      4 × (3 ＋ 6) ＋ 3 ＝ 
986      0*******      (1 ÷ 1 － 1) × 9 ＝ 
987      7*******      5 ＋ (2 － 1/7 × 0) ＝ 
988      1'1/20**      7/10 × (9 ÷ 2 － 3) ＝ 
989      1'10/63*      (8 ＋ 1'3/7 ＋ 1) ÷ 9 ＝ 
990      3/32****      9 ÷ (4 × 6) ÷ 4 ＝ 
991      6'7/8***      1 ＋ (5 ＋ 7/8) － 0 ＝ 
992      1/2*****      6 ÷ 8 × 4 × 1/6 ＝ 
993      14******      3 ＋ 8 ＋ 7 － 4 ＝ 
994      0*******      0 ÷ 7 ＋ 0 × 1/3 ＝ 
995      11******      0 ＋ (4 ＋ 8) － 1 ＝ 
996      1*******      0 ÷ 6 ＋ (6 － 5) ＝ 
997      37'5/6**      2 ＋ (9 × 4 － 1/6) ＝ 
998      5'5/8***      6 － 3 ÷ (0 ＋ 8) ＝ 
999      15'3/5**      2/3 × (1'4/5 × (4 ＋ 9)) ＝ 
1000     42******      7 × 4 ＋ (5 ＋ 9) ＝ 
1001     6*******      7 × 2 － 1 × 8 ＝ 
1002     15'3/5**      4 ＋ 2 ＋ 6 ÷ 5/8 ＝ 
1003     28******      1 × 6 ÷ 1'2/7 × 6 ＝ 
1004     12'3/5**      1'1/5 × (1/2 ＋ (2 ＋ 8)) ＝ 
1005     3/4*****      0 × (3 － 2) ＋ 3/4 ＝ 
1006     35******      (0 × 7 ＋ 7) × 5 ＝ 
1007     7*******      3 ＋ (4 － (7 － 7)) ＝ 
1008     8*******      4 ÷ (5 － 3) × 4 ＝ 
1009     6'2/7***      2 × (8 ÷ 7) ＋ 4 ＝ 
1010     2*******      1 ＋ 1/5 － 1/5 ＋ 1 ＝ 
1011     112*****      (8 － 1) × 2 × 8 ＝ 
1012     28******      1'1/2 × 8 ＋ 9 ＋ 7 ＝ 
1013     10/21***      (9 ÷ 7 ＋ 3) ÷ 9 ＝ 
1014     0*******      (8 － (8 ＋ 0)) ÷ 3/10 ＝ 
1015     6'27/28*      7 － 1 ÷ 4 ÷ 7 ＝ 
1016     36'2/3**      (5 ＋ 6) ÷ (1/10 × 3) ＝ 
1017     1'6/7***      (1'1/2 ＋ (2 ＋ 3)) ÷ 3'1/2 ＝ 
1018     1/65****      1 ÷ 5 ÷ (8 ＋ 5) ＝ 
1019     31******      4 × 7 ＋ (4 － 1) ＝ 
1020     9/10****      (7 ＋ 8) ÷ 5 ÷ 3'1/3 ＝ 
1021     13'2/5**      7 ＋ (3 － 1'3/5) ＋ 5 ＝ 
1022     7'1/9***      4 × (4 ÷ (9 × 1/4)) ＝ 
1023     1*******      2 － 0 × 0 － 1 ＝ 
1024     11'1/2**      1/2 ＋ 4 ＋ (9 － 2) ＝ 
1025     2'2/5***      1 ÷ 5 × (4 ＋ 8) ＝ 
1026     0*******      4 － 2/3 × 1 × 6 ＝ 
1027     29'1/7**      6 × 4 － 6/7 ＋ 6 ＝ 
1028     20******      7 ＋ (4 ＋ 2) ＋ 7 ＝ 
1029     0*******      (1 ＋ 0) × (7 － 7) ＝ 
1030     25******      2 ＋ (6 ＋ 9 ＋ 8) ＝ 
1031     72/83***      3 ÷ (4 ＋ 1/3 － 7/8) ＝ 
1032     3'5/7***      1'3/7 ÷ (4 － 2) ＋ 3 ＝ 
1033     60******      4 × 5 ÷ (3 ÷ 9) ＝ 
1034     7'1/2***      (7 － 5 ＋ 3) ÷ 2/3 ＝ 
1035     1'2/5***      (5 ＋ 2) ÷ (1 × 5) ＝ 
1036     1'1/4***      9 ÷ (4 ＋ 0) － 1 ＝ 
1037     30******      4 × 5 ＋ (8 ＋ 2) ＝ 
1038     18******      4 ＋ (8 ＋ 7) － 1 ＝ 
1039     22'7/8**      9 ＋ (6 ＋ 9 － 1'1/8) ＝ 
1040     3*******      6 － 3 ÷ (1 ÷ 1) ＝ 
1041     2'2/7***      2 ÷ 6 × 3 ＋ 1'2/7 ＝ 
1042     11******      5 － (7 － 7) ＋ 6 ＝ 
1043     9'7/24**      9 ＋ (2 － 1/4) ÷ 6 ＝ 
1044     3'15/23*      (5 ＋ 7) ÷ (2 ＋ 1'2/7) ＝ 
1045     0*******      0 ÷ 1'1/6 × (1 ÷ 8) ＝ 
1046     13'1/2**      1'1/4 ＋ 3 ＋ 1'1/4 ＋ 8 ＝ 
1047     2'1/6***      2 ＋ 7 ÷ 6 － 1 ＝ 
1048     40******      8 × (5 ÷ (8 ÷ 8)) ＝ 
1049     11'3/4**      8 ＋ 1'1/4 × 2 × 1'1/2 ＝ 
1050     1*******      2/5 × (0 ÷ 4) ＋ 1 ＝ 
1051     4*******      6 － 2 × 2 ＋ 2 ＝ 
1052     7'13/27*      1'1/9 ÷ 3/4 ＋ (1 ＋ 5) ＝ 
1053     8'1/3***      3 ＋ 5 ＋ (1'1/3 － 1) ＝ 
1054     37'1/2**      (0 ＋ 8 － 1/2) × 5 ＝ 
1055     1'5/18**      1/2 ＋ 7 ÷ (8 ＋ 1) ＝ 
1056     1'2/3***      5 × 8 ÷ 3 ÷ 8 ＝ 
1057     12'6/7**      7 ＋ 7 － 1 × 1'1/7 ＝ 
1058     29'3/4**      (2 ＋ 9 ÷ 4) × 7 ＝ 
1059     4*******      (8 ÷ 8 － 0) × 4 ＝ 
1060     10******      9 ＋ (9 － 0 － 8) ＝ 
1061     11'1/3**      9 － 2'2/3 ＋ (8 － 3) ＝ 
1062     1'11/43*      9 ÷ (6 ÷ 1 ＋ 1'1/6) ＝ 
1063     3/20****      2 × 9/10 ÷ (3 × 4) ＝ 
1064     0*******      (6 ＋ 7) × (0 ÷ 3) ＝ 
1065     1/36****      1 ÷ 8 × (2 ÷ 9) ＝ 
1066     7/12****      (1 － 3'1/3 ÷ 8) ÷ 1 ＝ 
1067     6*******      6 ＋ 6 × 0 × 2/3 ＝ 
1068     12'1/8**      (9 ＋ 1'1/8) ÷ 1 ＋ 2 ＝ 
1069     6'3/20**      2'1/4 × (1'2/5 × 1) ＋ 3 ＝ 
1070     15'2/3**      9 ＋ 2'2/3 ＋ 5 － 1 ＝ 
1071     13/84***      (4/7 ＋ 4 ÷ 6) ÷ 8 ＝ 
1072     88******      8 × (6 ＋ 5) － 0 ＝ 
1073     13******      (9 × 5 ＋ 7) ÷ 4 ＝ 
1074     40******      (9 － 5) × (4 ＋ 6) ＝ 
1075     11******      2 ＋ (4 ＋ 4 ＋ 1) ＝ 
1076     2*******      6 ÷ (3 － 0 ÷ 4) ＝ 
1077     3'1/3***      0 ＋ (0 ＋ 2'1/3) ＋ 1 ＝ 
1078     3'5/6***      (5 ＋ 2'2/3) ÷ (4 － 2) ＝ 
1079     1/24****      1 ÷ 6 ÷ (6 － 2) ＝ 
1080     9'1/3***      9 ＋ 1 ÷ (2 ＋ 1) ＝ 
1081     4'1/2***      0 ＋ 5 － 1 × 1/2 ＝ 
1082     11'1/7**      5 ＋ 4/7 ÷ 4 ＋ 6 ＝ 
1083     6'2/3***      0 ＋ (4 ＋ 6) × 2/3 ＝ 
1084     35'5/8**      9 × 4 － 3 ÷ 8 ＝ 
1085     28******      5 ÷ 5 ＋ 9 × 3 ＝ 
1086     29******      5 × 9 － 9 － 7 ＝ 
1087     4*******      9 － 0 － (5 ＋ 0) ＝ 
1088     47******      4 × (7 ＋ 6) － 5 ＝ 
1089     55******      6 × (2'1/2 ＋ (7 － 1/3)) ＝ 
1090     0*******      9 × (9 × (5 － 5)) ＝ 
1091     0*******      0 ÷ 2 ÷ (8 × 2) ＝ 
1092     2*******      (9 ＋ 4 － 9) ÷ 2 ＝ 
1093     13'1/10*      4 ＋ 9 ＋ 1/5 ÷ 2 ＝ 
1094     2'2/5***      4 － (3 － 7 ÷ 5) ＝ 
1095     12'2/7**      3 ＋ (9 ＋ 1/7 × 2) ＝ 
1096     6/25****      2 ÷ 5 × (3/5 ÷ 1) ＝ 
1097     16******      2 × (7 ＋ 1) ＋ 0 ＝ 
1098     13******      1 ＋ 9 ÷ 3 ＋ 9 ＝ 
1099     2'1/3***      1 ＋ 2 ÷ 6 ＋ 1 ＝ 
1100     15******      9 ÷ 3 ＋ (4 ＋ 8) ＝ 
1101     3'55/63*      7 － 4 ＋ 4/9 ＋ 3/7 ＝ 
1102     3'1/4***      (1 ＋ 0) ÷ 4 ＋ 3 ＝ 
1103     21******      7 × 4 － (3 ＋ 4) ＝ 
1104     19'1/5**      3 × ((2 ＋ 6) × 4/5) ＝ 
1105     2'1/3***      1'2/3 × 5 － (1 ＋ 5) ＝ 
1106     9'1/5***      9 ＋ (3 － 3) ＋ 1/5 ＝ 
1107     10'7/8**      9 － 1/2 ＋ 3/8 ＋ 2 ＝ 
1108     2'11/12*      4 － 1/6 － (2/3 ＋ 1/4) ＝ 
1109     8*******      1 ＋ (2 ＋ (9 － 4)) ＝ 
1110     0*******      (3 － 3) ÷ (2 × 1/8) ＝ 
1111     7'2/7***      3/7 × (4 － 1) ＋ 6 ＝ 
1112     10******      9 ＋ 7 － (9 － 3) ＝ 
1113     11'1/5**      1'3/5 × (7 ÷ (1 － 0)) ＝ 
1114     82******      5 × (9 ＋ 7 ＋ 2/5) ＝ 
1115     9*******      0 × (1 ＋ 5) ＋ 9 ＝ 
1116     5*******      2 ＋ 9 － 5 － 1 ＝ 
1117     14******      4 ＋ (8 ＋ (1 ＋ 1)) ＝ 
1118     7'2/3***      1 × 5 － 0 ＋ 2'2/3 ＝ 
1119     5'4/5***      7 － 2 ÷ 1 ＋ 4/5 ＝ 
1120     2'1/2***      5 － (7 ＋ 8) ÷ 6 ＝ 
1121     3*******      0 ＋ (9 － 1 － 5) ＝ 
1122     5'1/4***      3'1/2 ÷ (10 ÷ 6 － 1) ＝ 
1123     7/26****      7 ÷ (2 × 9 ＋ 8) ＝ 
1124     2*******      5 ＋ 4 － 5 － 2 ＝ 
1125     7'2/5***      0 ＋ (3 ＋ 5) － 3/5 ＝ 
1126     20******      1 ＋ 9 ＋ (6 ＋ 4) ＝ 
1127     6'1/2***      2 ＋ (7 － (2 ＋ 1/2)) ＝ 
1128     2'3/7***      (9 ＋ 8) ÷ 7 － 0 ＝ 
1129     20'1/3**      1/3 ＋ 4/7 × 5 × 7 ＝ 
1130     5'3/4***      7 － 5 ÷ 6 × 1'1/2 ＝ 
1131     0*******      0 × (4 ÷ 1'2/3 ＋ 7) ＝ 
1132     9'11/14*      1'1/2 ＋ (9 ＋ 1'2/7) － 2 ＝ 
1133     8*******      4 ＋ 4 ÷ 2 ＋ 2 ＝ 
1134     26'2/3**      (1 ＋ 9) ÷ 3 × 8 ＝ 
1135     2/3*****      4 － (5 ＋ 2'1/3 － 4) ＝ 
1136     3'4/9***      4 － (1 ＋ 4) × 1/9 ＝ 
1137     9*******      9 ÷ 2 × (8 － 6) ＝ 
1138     1'3/4***      5 ÷ (4 ÷ 7 × 5) ＝ 
1139     18******      6 × (2 ＋ 9 ÷ 9) ＝ 
1140     16******      3 － 1 ＋ (8 ＋ 6) ＝ 
1141     126*****      (9 ＋ 9) × (7 ÷ 1) ＝ 
1142     5*******      (0 ＋ 5) × (4 ÷ 4) ＝ 
1143     9*******      7 ＋ 6 － 4 ÷ 1 ＝ 
1144     22******      8 ＋ 5 ＋ 5 ＋ 4 ＝ 
1145     1*******      4 ÷ 8 ＋ 2 ÷ 4 ＝ 
1146     1/10****      1'4/5 ÷ (2 ÷ 1/9) － 0 ＝ 
1147     2'3/7***      5 － (9 ＋ 0) × 2/7 ＝ 
1148     51'1/5**      1 ＋ 1'1/5 ＋ 7 × 7 ＝ 
1149     2'4/9***      2 ＋ (3 － (2 ＋ 5/9)) ＝ 
1150     33'1/4**      8 ÷ 1/3 ＋ (1'1/4 ＋ 8) ＝ 
1151     12******      8 － (6/7 － 6/7) ＋ 4 ＝ 
1152     18'1/3**      3 ＋ 2 ＋ 3'1/3 × 4 ＝ 
1153     4'2/3***      6 × 1 ÷ 2 ＋ 1'2/3 ＝ 
1154     10'1/4**      8 ＋ (2 － 0) × 1'1/8 ＝ 
1155     1'5/12**      (6 － 1 － 3/4) ÷ 3 ＝ 
1156     1*******      3 ＋ 4 － (8 － 2) ＝ 
1157     41'1/4**      6 × (2 ＋ 9) ÷ 1'3/5 ＝ 
1158     2/3*****      (1 ＋ (1 ＋ 2)) ÷ 6 ＝ 
1159     13******      4 ＋ (4 ＋ 4 ＋ 1) ＝ 
1160     14'1/4**      5 ＋ (8 ＋ 1/4) ＋ 1 ＝ 
1161     40/63***      5/9 ＋ 1/3 ÷ (7 ÷ 1'2/3) ＝ 
1162     7'2/3***      4 ＋ 2/3 ＋ 9 ÷ 3 ＝ 
1163     9'1/3***      2'1/3 － 2 ＋ (8 ＋ 1) ＝ 
1164     19******      8 ＋ 5 ＋ (9 － 3) ＝ 
1165     1'1/4***      (1/2 ＋ 1/3) ÷ (6 ÷ 9) ＝ 
1166     17******      6 × 2 ＋ (7 － 2) ＝ 
1167     3*******      0 × (4 － 1'1/3) ＋ 3 ＝ 
1168     17******      5 ＋ (7 ＋ (9 － 4)) ＝ 
1169     4'4/9***      6 － (5/9 ＋ 9 － 8) ＝ 
1170     4'3/7***      3 ÷ 7 ＋ 3 ＋ 1 ＝ 
1171     21******      3 ＋ 6 × (8 － 5) ＝ 
1172     11******      1 × 8 ÷ 4 ＋ 9 ＝ 
1173     2/7*****      2 ÷ (7 × (8 － 7)) ＝ 
1174     20/29***      5 ÷ (5 ＋ 9 ÷ 4) ＝ 
1175     1'2/7***      9 ÷ (5 × 2 － 3) ＝ 
1176     6'6/7***      1'1/7 ÷ 2 × (8 ＋ 4) ＝ 
1177     2'1/3***      1 － 1 ＋ 2 ＋ 1/3 ＝ 
1178     1/5*****      3 ÷ 3 ÷ (5 ÷ 1) ＝ 
1179     36'1/2**      6 × 5 ＋ (4 ＋ 2'1/2) ＝ 
1180     6*******      1 － 0 ＋ (3 ＋ 2) ＝ 
1181     16******      (2 ＋ 0) × (9 － 1) ＝ 
1182     25******      (0 ＋ 2'1/2) × (9 ＋ 1) ＝ 
1183     40******      6 ÷ 6 × (8 × 5) ＝ 
1184     0*******      (2 ＋ 1 － 3) × 3 ＝ 
1185     11******      4 ＋ 1 ＋ 6 － 0 ＝ 
1186     70******      1 × 5 × (7 ＋ 7) ＝ 
1187     8'3/4***      3 × (2'1/2 ÷ 2) ＋ 5 ＝ 
1188     4*******      (2 ＋ 3) ÷ (5 ÷ 4) ＝ 
1189     8*******      (5 － (7 － 6)) ÷ 1/2 ＝ 
1190     11******      2 ＋ 3 ＋ (3 ＋ 3) ＝ 
1191     35******      5 × 4 ＋ 3 × 5 ＝ 
1192     9'5/6***      2 ＋ 2 ＋ 1'2/3 × 3'1/2 ＝ 
1193     6'3/20**      6 ＋ 6 ÷ (5 × 8) ＝ 
1194     1'1/23**      (9 － 1) ÷ (2/3 ＋ 7) ＝ 
1195     1/28****      3 ÷ (9 × 9 ＋ 3) ＝ 
1196     167'1/3*      8 × 3 × 7 － 2/3 ＝ 
1197     6*******      (9 － 6) ÷ (2 ÷ 4) ＝ 
1198     2'1/2***      5 － 1 － 3 × 1/2 ＝ 
1199     12******      6 ＋ 6 － 0 × 8 ＝ 
1200     7*******      (8 － 7) × (6 ＋ 1) ＝ 
1201     6'8/9***      8 ÷ 9 ＋ (6 ＋ 0) ＝ 
1202     7*******      (9 － 0) ÷ (9 ÷ 7) ＝ 
1203     6/95****      3 ÷ 5 ÷ (4'1/2 ＋ 5) ＝ 
1204     1*******      0 × 4 ＋ 6 － 5 ＝ 
1205     6*******      (6 － 3) × (1 ＋ 1) ＝ 
1206     4*******      8 ÷ 4 ＋ (5 － 3) ＝ 
1207     2'1/2***      (2 ÷ 4/9 － 4) × 5 ＝ 
1208     18******      9 × (3 － 2) ＋ 9 ＝ 
1209     3*******      8 － (5 － (8 － 8)) ＝ 
1210     5*******      4 ＋ (1 ＋ 3 － 3) ＝ 
1211     9*******      3 ÷ 1/2 ＋ (6 － 3) ＝ 
1212     3'2/9***      7 － 1 － 2 － 7/9 ＝ 
1213     0*******      0 ÷ (6 ＋ 7 － 7) ＝ 
1214     21'1/4**      4 ＋ 7 ＋ 9 ＋ 1'1/4 ＝ 
1215     9'1/7***      3 ＋ 7 － (1 － 1/7) ＝ 
1216     26'1/2**      3'1/2 × 7 ＋ (2 － 0) ＝ 
1217     1'3/4***      9 － 7 － 1 ÷ 4 ＝ 
1218     17******      3 － 0 ＋ (7 ＋ 7) ＝ 
1219     4*******      (4 － (1 ＋ 1)) ÷ 1/2 ＝ 
1220     0*******      2 × 0 × (9 － 3/7) ＝ 
1221     8'1/13**      8 ＋ 1 ÷ (9 ＋ 4) ＝ 
1222     5'1/4***      5 ＋ 3/4 × 3 ÷ 9 ＝ 
1223     12******      (6 ＋ 6) × 9 ÷ 9 ＝ 
1224     6*******      (7 － 1) × (2 － 1) ＝ 
1225     6*******      4 × (1'1/5 × 5 ÷ 4) ＝ 
1226     43******      1 ＋ 6 ＋ 8 ÷ 2/9 ＝ 
1227     3*******      4 － 2 ÷ (6 － 4) ＝ 
1228     3'1/5***      8 × 4 ÷ (4 ＋ 6) ＝ 
1229     9'6/7***      (0 ＋ (9 ＋ 6/7)) × 1 ＝ 
1230     7'1/3***      2 ＋ (5 ＋ 3 ÷ 9) ＝ 
1231     15/28***      2/7 × ((8 ＋ 7) ÷ 8) ＝ 
1232     49******      4 ＋ 7 × 6 ＋ 3 ＝ 
1233     1'3/10**      7/10 ＋ 3 × (1 ÷ 5) ＝ 
1234     6'1/6***      4 － 5 ÷ 6 ＋ 3 ＝ 
1235     3*******      3 × 4 ＋ 0 － 9 ＝ 
1236     7*******      7 ＋ (0 ＋ 0) ÷ 4 ＝ 
1237     1'7/9***      2 ÷ (3 ÷ (8 ÷ 3)) ＝ 
1238     61/96***      5/8 ÷ 4 ÷ 3/5 ＋ 3/8 ＝ 
1239     26******      8 ＋ (8 ＋ (9 ＋ 1)) ＝ 
1240     11'61/90      7/9 ＋ (9/10 ＋ 5) ＋ 5 ＝ 
1241     0*******      0 × (1/5 × 7 × 8) ＝ 
1242     13'4/7**      9 ＋ 6 － 2/7 × 5 ＝ 
1243     6'1/10**      1/10 ＋ (3 ＋ 7 － 4) ＝ 
1244     2'11/12*      5 × 2 ÷ (1'1/7 × 3) ＝ 
1245     20'1/2**      6 ＋ 1 ＋ 1'1/2 × 9 ＝ 
1246     76******      4 ＋ 6 × (3 × 4) ＝ 
1247     8'5/7***      3 ＋ 8 × 1 ÷ 1'2/5 ＝ 
1248     35******      7 × (0 × 7 ＋ 5) ＝ 
1249     10******      5 × (8 － 6 ＋ 0) ＝ 
1250     15'4/5**      1'4/5 ＋ 9 － 4 ＋ 9 ＝ 
1251     10/13***      (6 ＋ 4) ÷ (7 ＋ 6) ＝ 
1252     4*******      9 ＋ 8 － (7 ＋ 6) ＝ 
1253     1'13/32*      1 × 9 ÷ 8 ÷ 4/5 ＝ 
1254     12******      6 ＋ 5 － 4 ＋ 5 ＝ 
1255     22******      (5 ＋ 8 ＋ 9) ÷ 1 ＝ 
1256     31/48***      1'1/4 ÷ 4 ＋ 2 ÷ 6 ＝ 
1257     2*******      (9 － 7) × (3 － 2) ＝ 
1258     10'1/2**      3 ÷ 4 × (7 ＋ 7) ＝ 
1259     11'4/5**      0 ＋ (5 ＋ 7 － 1/5) ＝ 
1260     18******      9 ÷ (1 ÷ (6 － 4)) ＝ 
1261     7'1/9***      4 × 6 ÷ (3/8 × 9) ＝ 
1262     1'1/15**      7 ÷ (3 ＋ 3) － 1/10 ＝ 
1263     7'1/2***      3 ＋ (6 ＋ 0 － 1'1/2) ＝ 
1264     1'1/9***      1/9 ＋ (2 － 0) ÷ 2 ＝ 
1265     33'7/10*      5 ＋ 7 × 4 ＋ 7/10 ＝ 
1266     3*******      3 ＋ (6 － (8 － 2)) ＝ 
1267     7*******      3 ＋ 0 ＋ 4 － 0 ＝ 
1268     12******      3 ＋ (0 × 1 ＋ 9) ＝ 
1269     1'1/8***      0 ÷ 2 ＋ 1/8 ＋ 1 ＝ 
1270     1'1/9***      5 ÷ 3 ÷ (3'1/2 － 2) ＝ 
1271     20'1/2**      3 ＋ (7 ＋ 6 × 1'3/4) ＝ 
1272     6'1/2***      8 － (9 ＋ 0) ÷ 6 ＝ 
1273     3'2/5***      5 － (7 － 3) ÷ 2'1/2 ＝ 
1274     22'2/5**      (5 ＋ 2) × (4 － 4/5) ＝ 
1275     6'2/5***      2'2/3 × 4 × 3/5 ＋ 0 ＝ 
1276     0*******      (9 － 8) ÷ 5 × 0 ＝ 
1277     3'5/9***      8 ÷ (9 ÷ (5 － 1)) ＝ 
1278     0*******      0 × (2 × (6 ÷ 3/5)) ＝ 
1279     5/16****      0 ＋ (3 － 1/2) ÷ 8 ＝ 
1280     2*******      2 ＋ 0 × (6 ＋ 6) ＝ 
1281     9*******      8 ＋ 6 － 7 ＋ 2 ＝ 
1282     1'5/27**      4 ÷ (3 ÷ 4/9 ÷ 2) ＝ 
1283     16'7/8**      9 ＋ (8 － 1 ÷ 8) ＝ 
1284     1'5/14**      1/3 ＋ (1'1/6 － 1/7 － 0) ＝ 
1285     6'2/3***      1'2/3 ＋ 0 ＋ (1 ＋ 4) ＝ 
1286     18******      1 ＋ 3 ＋ (7 ＋ 7) ＝ 
1287     281*****      9 × 8 × 4 － 7 ＝ 
1288     1/2*****      7 ÷ ((8 ＋ 4) ÷ 6/7) ＝ 
1289     4/15****      (1/5 － 5/7 × 0) ÷ 3/4 ＝ 
1290     8*******      (3 － 0) × (8 ÷ 3) ＝ 
1291     29/36***      (1'1/4 ＋ 6) × 1 ÷ 9 ＝ 
1292     3'3/5***      1 × 5 － 7 ÷ 5 ＝ 
1293     3'3/16**      3 ＋ 3 ÷ (8 ＋ 8) ＝ 
1294     4'4/5***      (3 － 7/9 × 1'4/5) × 3 ＝ 
1295     14'1/35*      8 ＋ 1'3/7 ＋ (3/5 ＋ 4) ＝ 
1296     5*******      4 － (6 － 2) ＋ 5 ＝ 
1297     4*******      8 × 1 － 6 ＋ 2 ＝ 
1298     0*******      6 ÷ (8 － 2) － 1 ＝ 
1299     8'3/4***      1'1/2 × (5 × 7 ÷ 6) ＝ 
1300     20/71***      6 ÷ 3 ÷ (1/10 ＋ 7) ＝ 
